LIABILITIES
12.9
8718.51
238.96
3429.59
529.81
447.46
11625.92
821.22
177.33
7835.91
1817.42
996.61
3346.2
1879.92
954.67
851.12
5403.19
18031.17
20762.94
7889.78
15094.62
1478.1
200.06
38522.99
6614.93
4862.95
1025.52
13506.05
595.44
1011.05
44522.66
11332.26
4324.46
11270.62
30894.66
3918.35
10243.06
172.19
5872.98
201.74
637
35574.34
4719.28
404.07
643.67
74573.68
873.74
378.21
40.52
7925.95
4337.07
839.36
298.95
875.75
397.77
6768.43
3905.22
179.55
12044.88
1438.32
749.9
1830.65
8530.4
748.32
3879.14
5655.05
9233
11823.42
595.85
479.63
71.62
477.44
3795.84
1382.48
358.8
455.29
1682.79
179.28
711.71
1221.18
64068.68
53.17
387.83
35.85
118.35
25.06
1466.51
6783.97
928.76
859.74
5114.62
72.91
98.22
1022.57
313.28
68.6
59346.64
3992.72
1583.19
3113.05
668.54
876.71
578.65
2788.28
41883.55
27.42
77.75
859.49
1188.08
503.85
875.61
678.28
633.19
2387.06
12883.41
44903.91
936.04
946.57
359.91
1529.1
324.54
414.67
1106.21
2770.22
782.16
23389.6
22699.75
2114.88
574.53
8524.68
5946.17
143.22
5427.69
654.02
108.72
1195.67
248.18
3129.75
137.1
1181.48
199.86
9206.35
5892.09
15432.81
2985.83
1451.97
482.28
282.05
208.31
349.78
123.17
313.63
677.17
590.32
241.11
579.64
563.69
727.88
1686.56
146239
4203.23
4442.38
436.84
752.23
1128.18
11760.99
240.26
23.72
3345.68
1165.97
1145.12
642.05
2570.82
313.65
303.8
196.34
649.25
738.04
650.68
374.32
5275.36
3954.91
5401.89
166.54
17577.35
1333.9
383.09
16013.38
284.74
284.91
463.38
116.65
37353.93
191.05
299.61
90.35
1032.99
8454.99
1110.02
40.27
248.04
3505.35
728.26
3164.46
1655.52
132.28
197.6
465.18
156.44
224.8
51.4
2379.64
242.97
54468.43
64.09
86257.73
183.15
1798.25
8189.39
79.56
659.11
2024.11
1311.26
359.75
785.23
14384.41
942.38
20351.04
16086.01
210.61
6734.74
427.91
2560.5
105.22
370.13
197.47
